inspection_id,bridge_id,inspection_date,inspection_type,condition_class,BCI_score,deck_score,superstructure_score,substructure_score,inspector_team,recommended_action
INSP-BR0012-2024,BR0012,2024-05-04,Regular inspection,2,86.0,79.1,82.2,89.2,Team A,Routine maintenance
INSP-BR0012-2025,BR0012,2025-07-15,Regular inspection,2,78.8,72.5,71.4,71.4,External consultant,Routine maintenance
INSP-BR0013-2021,BR0013,2021-08-06,Regular inspection,1,91.5,92.6,96.4,96.1,Team B,Routine maintenance
INSP-BR0013-2022,BR0013,2022-08-01,Regular inspection,2,78.1,75.9,87.8,85.9,External consultant,Routine maintenance
INSP-BR0013-2024,BR0013,2024-06-18,Regular inspection,2,84.0,79.2,76.0,77.3,Team A,Routine maintenance
INSP-BR0013-2026,BR0013,2026-09-11,Regular inspection,2,76.8,83.3,71.8,71.5,Team B,Routine maintenance
INSP-BR0014-2023,BR0014,2023-10-11,Regular inspection,1,94.1,98.3,99.2,97.1,Team A,Routine maintenance
INSP-BR0014-2024,BR0014,2024-04-13,Regular inspection,2,80.3,83.1,75.9,84.4,Team C,Routine maintenance
INSP-BR0015-2021,BR0015,2021-03-02,Regular inspection,4,54.4,57.7,57.7,49.4,Team C,Major repair / load assessment
INSP-BR0015-2022,BR0015,2022-08-18,Regular inspection,3,73.8,74.5,80.8,70.8,External consultant,Repair planning
INSP-BR0015-2023,BR0015,2023-05-18,Special inspection,4,43.5,33.8,35.4,38.3,External consultant,Major repair / load assessment
INSP-BR0016-2022,BR0016,2022-06-18,Regular inspection,2,76.1,74.3,81.1,69.7,Team C,Routine maintenance
INSP-BR0016-2024,BR0016,2024-04-06,Frequent inspection,1,95.4,90.5,88.1,100,Team A,Routine maintenance
INSP-BR0016-2025,BR0016,2025-05-24,Regular inspection,2,88.6,82.0,79.1,81.1,Team B,Routine maintenance
INSP-BR0016-2026,BR0016,2026-07-14,Regular inspection,2,87.4,88.2,81.4,91.6,Team A,Routine maintenance
INSP-BR0017-2022,BR0017,2022-06-25,Regular inspection,2,86.9,78.5,93.5,84.2,Team C,Routine maintenance
INSP-BR0017-2023,BR0017,2023-05-22,Regular inspection,2,79.9,80.2,81.1,76.7,Team A,Routine maintenance
INSP-BR0017-2026,BR0017,2026-08-13,Special inspection,2,86.9,92.6,79.7,78.1,Team A,Routine maintenance
INSP-BR0018-2021,BR0018,2021-09-13,Regular inspection,2,89.9,85.5,83.0,96.4,External consultant,Routine maintenance
INSP-BR0018-2024,BR0018,2024-11-01,Special inspection,3,62.1,58.6,62.5,68.5,External consultant,Repair planning
INSP-BR0019-2022,BR0019,2022-03-21,Regular inspection,1,91.3,90.4,100,91.6,Team B,Routine maintenance
INSP-BR0019-2023,BR0019,2023-05-17,Regular inspection,2,89.7,86.9,89.1,92.2,External consultant,Routine maintenance
INSP-BR0019-2025,BR0019,2025-07-14,Special inspection,1,98.7,100,97.0,100,External consultant,Routine maintenance
INSP-BR0019-2026,BR0019,2026-06-14,Regular inspection,2,79.7,84.8,87.3,80.1,Team A,Routine maintenance
INSP-BR0020-2021,BR0020,2021-07-06,Regular inspection,2,84.1,74.7,81.2,96.0,Team A,Routine maintenance
INSP-BR0020-2022,BR0020,2022-04-11,Regular inspection,2,82.9,85.2,77.7,87.7,External consultant,Routine maintenance
INSP-BR0020-2025,BR0020,2025-06-06,Regular inspection,2,81.6,78.6,87.6,86.1,External consultant,Routine maintenance
INSP-BR0021-2024,BR0021,2024-08-07,Regular inspection,2,83.5,86.1,90.5,90.8,Team B,Routine maintenance
INSP-BR0021-2025,BR0021,2025-03-25,Frequent inspection,2,77.5,68.4,75.5,75.9,Team C,Routine maintenance
INSP-BR0022-2022,BR0022,2022-08-22,Regular inspection,3,61.9,61.8,55.0,72.7,Team C,Repair planning
INSP-BR0022-2024,BR0022,2024-05-18,Regular inspection,2,89.1,91.7,80.7,98.5,External consultant,Routine maintenance
INSP-BR0022-2025,BR0022,2025-05-08,Special inspection,3,64.8,56.2,61.5,65.3,Team B,Repair planning
INSP-BR0022-2026,BR0022,2026-11-19,Special inspection,3,62.2,50.7,53.7,72.8,Team A,Repair planning
INSP-BR0023-2021,BR0023,2021-03-06,Regular inspection,3,68.8,73.4,60.5,78.7,Team C,Repair planning
INSP-BR0023-2023,BR0023,2023-04-11,Frequent inspection,3,65.7,71.4,62.6,75.6,Team A,Repair planning
INSP-BR0023-2026,BR0023,2026-07-19,Regular inspection,3,74.4,82.4,72.3,81.7,External consultant,Repair planning
INSP-BR0024-2021,BR0024,2021-09-12,Frequent inspection,2,88.0,79.6,80.7,88.7,External consultant,Routine maintenance
INSP-BR0024-2025,BR0024,2025-05-22,Regular inspection,2,79.6,83.5,81.7,82.4,Team C,Routine maintenance
INSP-BR0024-2026,BR0024,2026-06-22,Frequent inspection,2,85.6,75.5,88.0,87.5,Team B,Routine maintenance
INSP-BR0025-2022,BR0025,2022-05-23,Frequent inspection,2,76.7,73.9,78.0,82.5,Team B,Routine maintenance
INSP-BR0025-2026,BR0025,2026-10-12,Regular inspection,2,77.2,67.2,72.0,68.5,Team B,Routine maintenance
INSP-BR0026-2023,BR0026,2023-04-23,Regular inspection,2,86.8,88.1,76.9,98.2,Team A,Routine maintenance
INSP-BR0026-2024,BR0026,2024-06-17,Regular inspection,2,84.1,85.5,91.7,80.7,Team C,Routine maintenance
INSP-BR0026-2025,BR0026,2025-11-16,Frequent inspection,2,79.8,68.0,71.7,91.8,Team B,Routine maintenance
INSP-BR0026-2026,BR0026,2026-05-20,Frequent inspection,2,80.0,81.4,85.5,73.1,External consultant,Routine maintenance
INSP-BR0027-2024,BR0027,2024-05-07,Frequent inspection,1,96.6,100,86.7,98.3,External consultant,Routine maintenance
INSP-BR0027-2026,BR0027,2026-04-25,Regular inspection,1,98.2,99.2,96.7,99.3,External consultant,Routine maintenance
INSP-BR0028-2021,BR0028,2021-11-04,Regular inspection,3,69.3,59.4,66.3,68.6,Team A,Repair planning
INSP-BR0028-2024,BR0028,2024-09-01,Regular inspection,2,76.1,75.1,73.2,70.1,Team A,Routine maintenance
INSP-BR0028-2026,BR0028,2026-06-05,Frequent inspection,3,65.7,68.0,56.2,73.4,Team A,Repair planning
INSP-BR0029-2022,BR0029,2022-09-16,Regular inspection,1,92.4,93.2,95.9,86.2,Team B,Routine maintenance
INSP-BR0029-2023,BR0029,2023-06-04,Regular inspection,2,80.0,82.1,89.3,73.3,Team A,Routine maintenance
INSP-BR0030-2021,BR0030,2021-03-17,Frequent inspection,3,70.2,61.2,78.4,68.1,External consultant,Repair planning
INSP-BR0030-2024,BR0030,2024-08-20,Regular inspection,3,70.1,59.6,64.9,81.0,Team B,Repair planning
INSP-BR0030-2026,BR0030,2026-11-09,Regular inspection,3,70.6,61.4,66.0,74.9,External consultant,Repair planning
INSP-BR0031-2022,BR0031,2022-05-05,Regular inspection,3,63.8,62.8,58.4,61.7,Team C,Repair planning
INSP-BR0031-2023,BR0031,2023-04-12,Special inspection,3,67.3,63.7,65.5,76.1,Team A,Repair planning
INSP-BR0031-2025,BR0031,2025-04-15,Regular inspection,2,85.2,82.0,83.0,96.8,External consultant,Routine maintenance
INSP-BR0031-2026,BR0031,2026-07-19,Frequent inspection,3,64.6,64.3,69.1,59.8,Team A,Repair planning
INSP-BR0032-2023,BR0032,2023-09-21,Special inspection,3,73.0,71.7,70.8,80.9,External consultant,Repair planning
INSP-BR0032-2024,BR0032,2024-04-21,Regular inspection,3,70.5,66.8,60.8,68.5,Team B,Repair planning
INSP-BR0032-2025,BR0032,2025-10-16,Frequent inspection,2,88.0,77.3,93.5,89.1,External consultant,Routine maintenance
INSP-BR0032-2026,BR0032,2026-10-18,Frequent inspection,3,61.4,60.0,59.9,67.8,Team C,Repair planning
INSP-BR0033-2021,BR0033,2021-11-14,Regular inspection,3,62.1,57.0,63.9,60.3,Team A,Repair planning
INSP-BR0033-2022,BR0033,2022-03-07,Regular inspection,3,62.5,59.9,53.4,56.4,Team B,Repair planning
INSP-BR0033-2026,BR0033,2026-03-20,Regular inspection,3,71.3,75.1,70.0,83.0,Team C,Repair planning
INSP-BR0034-2022,BR0034,2022-08-11,Regular inspection,1,95.5,97.3,91.5,90.9,Team B,Routine maintenance
INSP-BR0034-2023,BR0034,2023-11-11,Regular inspection,1,92.8,93.5,91.6,88.2,Team B,Routine maintenance
INSP-BR0034-2025,BR0034,2025-08-11,Regular inspection,1,96.7,93.6,92.9,100,External consultant,Routine maintenance
INSP-BR0034-2026,BR0034,2026-08-10,Regular inspection,1,92.1,84.0,84.5,100,Team B,Routine maintenance
INSP-BR0035-2021,BR0035,2021-09-08,Regular inspection,2,79.2,75.0,71.5,88.1,Team B,Routine maintenance
INSP-BR0035-2023,BR0035,2023-03-02,Frequent inspection,2,83.0,78.3,89.7,74.0,Team B,Routine maintenance
INSP-BR0035-2025,BR0035,2025-04-06,Regular inspection,2,80.4,77.4,81.1,83.1,Team A,Routine maintenance
INSP-BR0035-2026,BR0035,2026-09-16,Regular inspection,2,83.5,83.2,89.8,76.1,Team A,Routine maintenance
INSP-BR0036-2021,BR0036,2021-03-17,Regular inspection,2,86.8,94.7,88.8,93.2,External consultant,Routine maintenance
INSP-BR0036-2022,BR0036,2022-06-21,Regular inspection,3,66.9,55.7,75.9,61.5,Team B,Repair planning
INSP-BR0036-2024,BR0036,2024-09-20,Regular inspection,3,71.7,67.9,62.7,68.3,Team C,Repair planning
INSP-BR0036-2025,BR0036,2025-09-15,Regular inspection,3,73.5,64.7,79.1,80.2,Team C,Repair planning
INSP-BR0037-2021,BR0037,2021-05-04,Regular inspection,4,44.3,46.7,41.5,41.8,Team A,Major repair / load assessment
INSP-BR0037-2025,BR0037,2025-05-21,Regular inspection,4,48.3,36.3,43.2,53.6,Team B,Major repair / load assessment
INSP-BR0038-2021,BR0038,2021-04-12,Frequent inspection,1,91.2,96.4,86.8,97.3,Team A,Routine maintenance
INSP-BR0038-2026,BR0038,2026-10-12,Regular inspection,2,76.8,75.6,70.7,68.6,Team A,Routine maintenance
INSP-BR0039-2021,BR0039,2021-10-11,Regular inspection,3,64.5,67.9,67.0,55.5,External consultant,Repair planning
INSP-BR0039-2024,BR0039,2024-03-22,Special inspection,2,79.1,76.1,85.3,76.4,Team C,Routine maintenance
INSP-BR0039-2025,BR0039,2025-03-24,Regular inspection,2,78.8,83.8,78.2,71.9,Team A,Routine maintenance
INSP-BR0039-2026,BR0039,2026-09-16,Regular inspection,3,69.4,57.5,69.9,75.0,Team C,Repair planning
INSP-BR0040-2025,BR0040,2025-03-14,Regular inspection,2,79.9,84.1,71.2,80.1,Team C,Routine maintenance
INSP-BR0040-2026,BR0040,2026-10-09,Regular inspection,2,81.4,73.1,84.6,75.3,Team C,Routine maintenance
INSP-BR0041-2021,BR0041,2021-06-02,Regular inspection,4,49.0,38.9,42.5,53.0,External consultant,Major repair / load assessment
INSP-BR0041-2022,BR0041,2022-06-15,Regular inspection,4,50.2,43.9,41.4,56.9,Team B,Major repair / load assessment
INSP-BR0041-2024,BR0041,2024-08-02,Frequent inspection,3,72.2,64.4,65.4,80.4,External consultant,Repair planning
INSP-BR0041-2026,BR0041,2026-05-08,Frequent inspection,4,54.7,59.4,60.9,63.2,External consultant,Major repair / load assessment
INSP-BR0042-2021,BR0042,2021-06-03,Special inspection,3,66.9,71.5,63.6,63.3,External consultant,Repair planning
INSP-BR0042-2025,BR0042,2025-07-07,Regular inspection,4,54.1,49.4,52.8,49.1,Team B,Major repair / load assessment
INSP-BR0043-2021,BR0043,2021-07-08,Regular inspection,1,95.7,100,96.5,95.6,External consultant,Routine maintenance
INSP-BR0043-2022,BR0043,2022-06-07,Regular inspection,1,98.5,86.8,100,100,External consultant,Routine maintenance
INSP-BR0043-2025,BR0043,2025-04-10,Regular inspection,1,99.0,90.7,100,92.0,Team A,Routine maintenance
INSP-BR0043-2026,BR0043,2026-11-14,Special inspection,1,95.2,99.3,88.2,87.4,Team A,Routine maintenance
INSP-BR0044-2023,BR0044,2023-04-20,Regular inspection,2,88.1,82.4,87.0,95.8,Team B,Routine maintenance
INSP-BR0044-2024,BR0044,2024-11-19,Regular inspection,3,69.8,69.1,66.6,68.9,External consultant,Repair planning
INSP-BR0044-2026,BR0044,2026-08-09,Regular inspection,3,66.3,69.9,58.0,62.4,Team B,Repair planning
INSP-BR0045-2021,BR0045,2021-09-05,Regular inspection,2,88.9,92.7,95.6,88.6,External consultant,Routine maintenance
INSP-BR0045-2022,BR0045,2022-07-08,Frequent inspection,2,89.1,94.6,97.9,98.3,Team B,Routine maintenance
INSP-BR0045-2024,BR0045,2024-03-02,Regular inspection,2,76.6,73.4,84.0,68.0,Team A,Routine maintenance
INSP-BR0045-2026,BR0045,2026-11-11,Regular inspection,2,85.2,86.8,79.9,83.0,Team A,Routine maintenance
INSP-BR0046-2021,BR0046,2021-09-02,Regular inspection,2,87.2,80.9,77.4,78.9,Team B,Routine maintenance
INSP-BR0046-2023,BR0046,2023-09-11,Regular inspection,2,81.9,82.4,86.7,92.0,Team A,Routine maintenance
INSP-BR0046-2026,BR0046,2026-06-08,Regular inspection,2,83.9,91.4,78.3,91.3,Team C,Routine maintenance
INSP-BR0047-2021,BR0047,2021-06-04,Frequent inspection,1,97.3,87.4,88.4,100,Team B,Routine maintenance
INSP-BR0047-2022,BR0047,2022-06-08,Regular inspection,1,94.6,97.2,98.9,86.0,Team C,Routine maintenance
INSP-BR0047-2024,BR0047,2024-08-21,Frequent inspection,1,92.8,100.0,87.5,99.8,Team A,Routine maintenance
INSP-BR0047-2026,BR0047,2026-06-09,Frequent inspection,1,98.7,99.1,100,100,Team B,Routine maintenance
INSP-BR0048-2021,BR0048,2021-04-24,Special inspection,3,67.8,65.9,75.2,78.1,External consultant,Repair planning
INSP-BR0048-2023,BR0048,2023-06-01,Regular inspection,3,68.7,72.1,60.2,78.0,External consultant,Repair planning
INSP-BR0048-2025,BR0048,2025-07-16,Frequent inspection,3,75.0,79.0,73.5,74.8,External consultant,Repair planning
INSP-BR0048-2026,BR0048,2026-06-13,Regular inspection,3,74.0,76.1,83.0,85.9,External consultant,Repair planning
INSP-BR0049-2021,BR0049,2021-09-09,Regular inspection,3,73.4,63.3,74.9,78.2,Team B,Repair planning
INSP-BR0049-2024,BR0049,2024-06-04,Regular inspection,3,61.1,64.9,62.0,52.3,Team C,Repair planning
INSP-BR0049-2026,BR0049,2026-05-13,Regular inspection,3,67.9,66.0,58.3,59.4,Team B,Repair planning
INSP-BR0050-2022,BR0050,2022-09-10,Regular inspection,2,78.1,85.5,74.7,83.3,Team A,Routine maintenance
INSP-BR0050-2023,BR0050,2023-07-11,Regular inspection,3,65.9,62.4,71.6,58.6,External consultant,Repair planning
INSP-BR0050-2024,BR0050,2024-09-04,Regular inspection,3,67.3,74.4,71.2,65.9,Team C,Repair planning
INSP-BR0050-2026,BR0050,2026-11-05,Regular inspection,3,71.2,59.8,72.4,66.6,Team C,Repair planning
INSP-BR0051-2022,BR0051,2022-07-12,Regular inspection,3,72.3,63.8,73.0,79.7,Team B,Repair planning
INSP-BR0051-2023,BR0051,2023-08-15,Frequent inspection,3,64.5,57.2,72.2,66.9,External consultant,Repair planning
INSP-BR0051-2024,BR0051,2024-07-07,Regular inspection,3,70.8,78.2,61.4,77.0,Team C,Repair planning
INSP-BR0052-2021,BR0052,2021-10-17,Special inspection,3,73.1,76.9,72.7,80.3,Team B,Repair planning
INSP-BR0052-2025,BR0052,2025-08-09,Regular inspection,2,80.7,73.4,76.8,80.4,Team A,Routine maintenance
INSP-BR0052-2026,BR0052,2026-04-25,Regular inspection,3,69.0,75.3,62.7,73.1,Team C,Repair planning
INSP-BR0053-2022,BR0053,2022-10-15,Regular inspection,3,65.4,54.8,68.7,62.8,Team B,Repair planning
INSP-BR0053-2023,BR0053,2023-10-04,Regular inspection,3,69.4,62.3,60.2,76.0,External consultant,Repair planning
INSP-BR0053-2025,BR0053,2025-04-20,Special inspection,3,66.7,67.0,64.8,72.4,Team C,Repair planning
INSP-BR0053-2026,BR0053,2026-03-14,Regular inspection,3,67.6,62.2,63.2,59.8,Team B,Repair planning
INSP-BR0054-2021,BR0054,2021-09-10,Regular inspection,2,81.1,83.3,78.6,78.0,Team C,Routine maintenance
INSP-BR0054-2024,BR0054,2024-09-25,Frequent inspection,2,89.6,84.5,80.3,90.2,External consultant,Routine maintenance
INSP-BR0055-2021,BR0055,2021-04-18,Frequent inspection,1,98.0,89.5,100,89.9,Team A,Routine maintenance
INSP-BR0055-2025,BR0055,2025-11-19,Regular inspection,1,95.9,84.3,90.3,100,External consultant,Routine maintenance
INSP-BR0056-2021,BR0056,2021-07-07,Frequent inspection,1,96.3,100,86.4,94.2,Team B,Routine maintenance
INSP-BR0056-2024,BR0056,2024-09-16,Regular inspection,1,93.4,85.7,86.0,85.1,Team B,Routine maintenance
INSP-BR0056-2025,BR0056,2025-05-04,Regular inspection,1,97.3,100,100,100,Team B,Routine maintenance
INSP-BR0056-2026,BR0056,2026-09-01,Regular inspection,1,97.6,89.0,100,94.8,Team C,Routine maintenance
INSP-BR0057-2023,BR0057,2023-04-19,Regular inspection,2,80.7,83.1,74.5,92.0,Team C,Routine maintenance
INSP-BR0057-2026,BR0057,2026-07-13,Regular inspection,2,89.4,84.1,97.7,82.7,Team C,Routine maintenance
INSP-BR0058-2021,BR0058,2021-03-05,Regular inspection,1,98.6,95.1,100,100,External consultant,Routine maintenance
INSP-BR0058-2022,BR0058,2022-07-18,Frequent inspection,2,77.8,76.4,70.8,79.0,Team B,Routine maintenance
INSP-BR0059-2022,BR0059,2022-07-01,Regular inspection,1,95.5,95.9,100,88.7,Team A,Routine maintenance
INSP-BR0059-2023,BR0059,2023-10-19,Regular inspection,1,97.4,92.9,100,100,Team A,Routine maintenance
INSP-BR0059-2024,BR0059,2024-11-12,Regular inspection,1,98.9,100,98.8,100,Team C,Routine maintenance
INSP-BR0059-2025,BR0059,2025-08-13,Regular inspection,1,92.5,84.5,92.7,88.2,Team B,Routine maintenance
INSP-BR0060-2022,BR0060,2022-06-11,Regular inspection,3,62.2,56.0,71.1,58.6,Team C,Repair planning
INSP-BR0060-2023,BR0060,2023-06-05,Regular inspection,3,62.2,68.9,70.9,60.8,External consultant,Repair planning
INSP-BR0060-2026,BR0060,2026-09-03,Regular inspection,3,72.3,72.3,65.5,75.7,Team C,Repair planning
INSP-BR0061-2021,BR0061,2021-08-24,Regular inspection,4,59.9,50.3,55.3,51.6,External consultant,Major repair / load assessment
INSP-BR0061-2025,BR0061,2025-08-19,Regular inspection,5,25.1,20,21.6,20,Team C,Traffic restriction / emergency action
INSP-BR0062-2022,BR0062,2022-03-05,Regular inspection,2,86.3,87.0,92.2,90.2,Team C,Routine maintenance
INSP-BR0062-2026,BR0062,2026-10-23,Regular inspection,2,78.2,73.4,83.9,79.4,Team B,Routine maintenance
INSP-BR0063-2022,BR0063,2022-09-21,Special inspection,2,82.0,76.6,82.9,93.8,Team B,Routine maintenance
INSP-BR0063-2023,BR0063,2023-05-22,Regular inspection,3,66.6,71.8,69.6,62.1,Team B,Repair planning
INSP-BR0063-2024,BR0063,2024-07-04,Special inspection,3,74.1,77.7,70.9,74.5,External consultant,Repair planning
INSP-BR0064-2021,BR0064,2021-03-10,Regular inspection,2,81.4,72.1,72.8,86.2,Team B,Routine maintenance
INSP-BR0064-2022,BR0064,2022-06-14,Regular inspection,3,69.4,69.7,61.0,77.6,Team A,Repair planning
INSP-BR0064-2023,BR0064,2023-07-02,Frequent inspection,3,64.5,54.5,65.3,68.1,Team A,Repair planning
INSP-BR0064-2026,BR0064,2026-09-05,Special inspection,3,67.9,57.9,58.9,67.8,External consultant,Repair planning
INSP-BR0065-2021,BR0065,2021-06-14,Regular inspection,2,87.3,86.5,94.9,86.6,Team B,Routine maintenance
INSP-BR0065-2023,BR0065,2023-03-17,Frequent inspection,2,88.7,81.6,94.5,83.6,Team A,Routine maintenance
INSP-BR0066-2021,BR0066,2021-11-05,Regular inspection,3,70.3,67.8,69.8,67.1,Team B,Repair planning
INSP-BR0066-2023,BR0066,2023-08-19,Regular inspection,3,70.6,66.2,62.3,77.9,Team C,Repair planning
INSP-BR0066-2024,BR0066,2024-05-04,Regular inspection,4,54.2,49.0,46.1,54.3,Team B,Major repair / load assessment
INSP-BR0066-2025,BR0066,2025-10-15,Regular inspection,4,56.0,47.6,55.5,55.2,External consultant,Major repair / load assessment
INSP-BR0067-2022,BR0067,2022-04-24,Frequent inspection,2,86.6,91.1,84.9,92.2,Team C,Routine maintenance
INSP-BR0067-2023,BR0067,2023-08-22,Special inspection,2,82.2,71.4,72.6,75.9,Team B,Routine maintenance
INSP-BR0067-2024,BR0067,2024-04-16,Regular inspection,2,76.7,66.8,77.8,81.9,External consultant,Routine maintenance
INSP-BR0068-2021,BR0068,2021-06-23,Regular inspection,1,95.2,96.2,95.7,90.1,Team A,Routine maintenance
INSP-BR0068-2022,BR0068,2022-06-17,Regular inspection,1,95.8,96.0,100,96.4,External consultant,Routine maintenance
INSP-BR0068-2024,BR0068,2024-06-16,Regular inspection,1,97.3,91.5,91.8,88.7,Team B,Routine maintenance
INSP-BR0068-2026,BR0068,2026-07-08,Regular inspection,1,97.4,100,96.8,96.2,External consultant,Routine maintenance
INSP-BR0069-2025,BR0069,2025-06-11,Regular inspection,3,67.0,72.0,57.8,74.0,Team B,Repair planning
INSP-BR0069-2026,BR0069,2026-10-01,Regular inspection,3,74.4,65.7,79.9,73.9,Team B,Repair planning
INSP-BR0070-2023,BR0070,2023-07-16,Regular inspection,2,88.4,89.1,92.3,88.9,Team A,Routine maintenance
INSP-BR0070-2026,BR0070,2026-04-15,Frequent inspection,2,81.4,69.7,85.9,76.6,Team B,Routine maintenance
INSP-BR0071-2022,BR0071,2022-09-24,Frequent inspection,1,97.6,96.1,100,99.2,Team B,Routine maintenance
INSP-BR0071-2025,BR0071,2025-08-14,Frequent inspection,2,86.1,87.0,82.3,96.0,External consultant,Routine maintenance
INSP-BR0072-2022,BR0072,2022-10-12,Regular inspection,1,92.5,91.1,96.6,85.5,External consultant,Routine maintenance
INSP-BR0072-2023,BR0072,2023-11-07,Regular inspection,2,83.9,84.9,85.8,91.2,Team C,Routine maintenance
INSP-BR0072-2026,BR0072,2026-06-21,Special inspection,2,78.3,77.4,81.9,84.0,Team A,Routine maintenance
INSP-BR0073-2022,BR0073,2022-07-10,Regular inspection,3,70.1,70.2,76.6,72.0,Team B,Repair planning
INSP-BR0073-2023,BR0073,2023-05-03,Regular inspection,3,72.5,75.1,74.9,82.1,Team C,Repair planning
INSP-BR0073-2025,BR0073,2025-11-14,Regular inspection,2,82.1,87.1,90.5,88.8,Team C,Routine maintenance
INSP-BR0073-2026,BR0073,2026-08-10,Regular inspection,3,72.0,68.4,77.9,65.3,Team A,Repair planning
INSP-BR0074-2024,BR0074,2024-11-22,Regular inspection,1,93.0,98.2,83.3,89.2,Team A,Routine maintenance
INSP-BR0074-2025,BR0074,2025-10-12,Regular inspection,1,91.1,84.7,84.2,90.8,External consultant,Routine maintenance
INSP-BR0074-2026,BR0074,2026-03-14,Regular inspection,1,98.8,100,100,100,Team C,Routine maintenance
INSP-BR0075-2024,BR0075,2024-10-15,Special inspection,1,98.3,97.1,97.3,100,Team B,Routine maintenance
INSP-BR0075-2026,BR0075,2026-08-21,Frequent inspection,1,93.0,83.3,85.8,98.2,Team B,Routine maintenance
