defect_id,bridge_id,inspection_id,defect_type,component,severity,description,quantity,unit,estimated_repair_cost_cny,requires_special_inspection
DEF-BR0008-2,BR0008,INSP-BR0008-2024,Expansion joint damage,Deck system,Minor,"Broken seal, leakage or joint blockage",29.3,m2,148708.0,False
DEF-BR0010-1,BR0010,INSP-BR0010-2026,Expansion joint damage,Deck system,Minor,"Broken seal, leakage or joint blockage",24.3,location,5914.0,False
DEF-BR0011-1,BR0011,INSP-BR0011-2024,Crack,Superstructure,Minor,Longitudinal/transverse cracking in girder or slab,1.6,location,173549.0,False
DEF-BR0011-2,BR0011,INSP-BR0011-2024,Water leakage / efflorescence,Superstructure,Moderate,Seepage marks and efflorescence,44.6,m,224740.0,False
DEF-BR0011-3,BR0011,INSP-BR0011-2024,Deck pavement rutting,Deck system,Minor,"Pavement rutting, pothole, delamination",11.4,point,195557.0,False
DEF-BR0011-4,BR0011,INSP-BR0011-2024,Pier crack,Substructure,Minor,Vertical/inclined cracking at pier or cap beam,4.2,point,198609.0,False
DEF-BR0012-1,BR0012,INSP-BR0012-2025,Spalling,Superstructure,Minor,Concrete cover spalling / exposed aggregate,6.7,point,135035.0,False
DEF-BR0013-1,BR0013,INSP-BR0013-2026,Abutment settlement,Substructure,Minor,Approach settlement or differential movement,0.6,m,98187.0,False
DEF-BR0013-2,BR0013,INSP-BR0013-2026,Rebar corrosion,Superstructure,Minor,Exposed or corroded reinforcement,15.4,m,198682.0,False
DEF-BR0014-1,BR0014,INSP-BR0014-2024,Rebar corrosion,Superstructure,Moderate,Exposed or corroded reinforcement,7.8,m,319842.0,False
DEF-BR0014-2,BR0014,INSP-BR0014-2024,Abutment settlement,Substructure,Moderate,Approach settlement or differential movement,22.5,point,20820.0,False
DEF-BR0015-1,BR0015,INSP-BR0015-2023,Spalling,Superstructure,Minor,Concrete cover spalling / exposed aggregate,16.8,point,101435.0,False
DEF-BR0015-2,BR0015,INSP-BR0015-2023,Drainage blockage,Deck system,Minor,"Blocked scupper, water ponding",59.0,m,179653.0,False
DEF-BR0016-1,BR0016,INSP-BR0016-2026,Rebar corrosion,Superstructure,Minor,Exposed or corroded reinforcement,35.4,m,86932.0,False
DEF-BR0016-2,BR0016,INSP-BR0016-2026,Drainage blockage,Deck system,Minor,"Blocked scupper, water ponding",22.8,point,62086.0,False
DEF-BR0016-3,BR0016,INSP-BR0016-2026,Water leakage / efflorescence,Superstructure,Minor,Seepage marks and efflorescence,58.8,m2,98531.0,False
DEF-BR0017-1,BR0017,INSP-BR0017-2026,Spalling,Superstructure,Minor,Concrete cover spalling / exposed aggregate,18.0,m,27188.0,False
DEF-BR0017-2,BR0017,INSP-BR0017-2026,Water leakage / efflorescence,Superstructure,Moderate,Seepage marks and efflorescence,1.2,m2,79483.0,False
DEF-BR0018-1,BR0018,INSP-BR0018-2024,Drainage blockage,Deck system,Minor,"Blocked scupper, water ponding",27.0,m,149860.0,False
DEF-BR0018-2,BR0018,INSP-BR0018-2024,Abutment settlement,Substructure,Minor,Approach settlement or differential movement,27.3,m2,36885.0,False
DEF-BR0018-3,BR0018,INSP-BR0018-2024,Scour / erosion,Foundation,Minor,Riverbed scour or slope erosion,31.8,m,32629.0,False
DEF-BR0018-4,BR0018,INSP-BR0018-2024,Water leakage / efflorescence,Superstructure,Severe,Seepage marks and efflorescence,33.6,point,394515.0,True
DEF-BR0019-1,BR0019,INSP-BR0019-2026,Spalling,Superstructure,Minor,Concrete cover spalling / exposed aggregate,34.5,m,130327.0,False
DEF-BR0020-1,BR0020,INSP-BR0020-2025,Deck pavement rutting,Deck system,Moderate,"Pavement rutting, pothole, delamination",18.7,location,312151.0,False
DEF-BR0021-1,BR0021,INSP-BR0021-2025,Crack,Superstructure,Minor,Longitudinal/transverse cracking in girder or slab,1.9,m,99882.0,False
DEF-BR0021-2,BR0021,INSP-BR0021-2025,Pier crack,Substructure,Minor,Vertical/inclined cracking at pier or cap beam,29.0,point,39751.0,False
DEF-BR0021-3,BR0021,INSP-BR0021-2025,Abutment settlement,Substructure,Severe,Approach settlement or differential movement,25.2,m2,433750.0,True
DEF-BR0022-1,BR0022,INSP-BR0022-2026,Pier crack,Substructure,Moderate,Vertical/inclined cracking at pier or cap beam,8.4,location,82472.0,False
DEF-BR0022-2,BR0022,INSP-BR0022-2026,Expansion joint damage,Deck system,Moderate,"Broken seal, leakage or joint blockage",52.4,location,49435.0,False
DEF-BR0022-3,BR0022,INSP-BR0022-2026,Spalling,Superstructure,Moderate,Concrete cover spalling / exposed aggregate,7.7,location,199050.0,False
DEF-BR0022-4,BR0022,INSP-BR0022-2026,Water leakage / efflorescence,Superstructure,Moderate,Seepage marks and efflorescence,54.4,m2,182775.0,False
DEF-BR0022-5,BR0022,INSP-BR0022-2026,Deck pavement rutting,Deck system,Moderate,"Pavement rutting, pothole, delamination",1.4,point,70239.0,False
DEF-BR0023-1,BR0023,INSP-BR0023-2026,Abutment settlement,Substructure,Moderate,Approach settlement or differential movement,47.7,location,35645.0,False
DEF-BR0023-2,BR0023,INSP-BR0023-2026,Drainage blockage,Deck system,Moderate,"Blocked scupper, water ponding",15.5,point,82642.0,False
DEF-BR0023-3,BR0023,INSP-BR0023-2026,Deck pavement rutting,Deck system,Minor,"Pavement rutting, pothole, delamination",16.3,m2,60549.0,False
DEF-BR0023-4,BR0023,INSP-BR0023-2026,Bearing damage,Bearing,Minor,"Aging rubber bearing, displacement or shear deformation",28.9,m2,70833.0,False
DEF-BR0024-1,BR0024,INSP-BR0024-2026,Drainage blockage,Deck system,Moderate,"Blocked scupper, water ponding",23.1,location,117212.0,False
DEF-BR0024-2,BR0024,INSP-BR0024-2026,Water leakage / efflorescence,Superstructure,Minor,Seepage marks and efflorescence,59.4,m,165391.0,False
DEF-BR0025-1,BR0025,INSP-BR0025-2026,Deck pavement rutting,Deck system,Minor,"Pavement rutting, pothole, delamination",56.0,m2,179188.0,False
DEF-BR0026-1,BR0026,INSP-BR0026-2026,Scour / erosion,Foundation,Moderate,Riverbed scour or slope erosion,48.4,point,42635.0,False
DEF-BR0026-2,BR0026,INSP-BR0026-2026,Pier crack,Substructure,Minor,Vertical/inclined cracking at pier or cap beam,31.7,m2,181900.0,False
DEF-BR0026-3,BR0026,INSP-BR0026-2026,Bearing damage,Bearing,Minor,"Aging rubber bearing, displacement or shear deformation",0.5,m,10535.0,False
DEF-BR0027-1,BR0027,INSP-BR0027-2026,Spalling,Superstructure,Minor,Concrete cover spalling / exposed aggregate,2.4,location,166628.0,False
DEF-BR0027-2,BR0027,INSP-BR0027-2026,Pier crack,Substructure,Minor,Vertical/inclined cracking at pier or cap beam,58.2,m,91093.0,False
DEF-BR0027-3,BR0027,INSP-BR0027-2026,Spalling,Superstructure,Minor,Concrete cover spalling / exposed aggregate,57.3,m2,39191.0,False
DEF-BR0027-4,BR0027,INSP-BR0027-2026,Railing damage,Ancillary,Minor,Damaged barrier or guardrail,34.5,m,71420.0,False
DEF-BR0027-5,BR0027,INSP-BR0027-2026,Scour / erosion,Foundation,Severe,Riverbed scour or slope erosion,54.9,point,676102.0,True
DEF-BR0028-1,BR0028,INSP-BR0028-2026,Pier crack,Substructure,Minor,Vertical/inclined cracking at pier or cap beam,41.6,location,138211.0,False
DEF-BR0028-2,BR0028,INSP-BR0028-2026,Railing damage,Ancillary,Moderate,Damaged barrier or guardrail,35.2,m2,104118.0,False
DEF-BR0029-1,BR0029,INSP-BR0029-2023,Spalling,Superstructure,Severe,Concrete cover spalling / exposed aggregate,31.5,location,201805.0,True
DEF-BR0029-2,BR0029,INSP-BR0029-2023,Expansion joint damage,Deck system,Moderate,"Broken seal, leakage or joint blockage",57.4,m,209287.0,False
DEF-BR0030-1,BR0030,INSP-BR0030-2026,Expansion joint damage,Deck system,Moderate,"Broken seal, leakage or joint blockage",53.1,location,166376.0,False
DEF-BR0030-2,BR0030,INSP-BR0030-2026,Expansion joint damage,Deck system,Minor,"Broken seal, leakage or joint blockage",32.1,location,36925.0,False
DEF-BR0031-1,BR0031,INSP-BR0031-2026,Abutment settlement,Substructure,Minor,Approach settlement or differential movement,50.9,location,41318.0,False
DEF-BR0031-2,BR0031,INSP-BR0031-2026,Pier crack,Substructure,Minor,Vertical/inclined cracking at pier or cap beam,8.9,location,102435.0,False
DEF-BR0032-1,BR0032,INSP-BR0032-2026,Deck pavement rutting,Deck system,Severe,"Pavement rutting, pothole, delamination",23.9,point,693066.0,True
DEF-BR0032-2,BR0032,INSP-BR0032-2026,Abutment settlement,Substructure,Moderate,Approach settlement or differential movement,13.3,location,306394.0,False
DEF-BR0032-3,BR0032,INSP-BR0032-2026,Water leakage / efflorescence,Superstructure,Moderate,Seepage marks and efflorescence,39.6,m2,47319.0,False
DEF-BR0032-4,BR0032,INSP-BR0032-2026,Abutment settlement,Substructure,Moderate,Approach settlement or differential movement,4.3,m2,293119.0,False
DEF-BR0032-5,BR0032,INSP-BR0032-2026,Pier crack,Substructure,Minor,Vertical/inclined cracking at pier or cap beam,5.8,point,36000.0,False
DEF-BR0032-6,BR0032,INSP-BR0032-2026,Drainage blockage,Deck system,Minor,"Blocked scupper, water ponding",42.0,m2,6334.0,False
DEF-BR0033-1,BR0033,INSP-BR0033-2026,Spalling,Superstructure,Minor,Concrete cover spalling / exposed aggregate,55.7,point,159000.0,False
DEF-BR0033-2,BR0033,INSP-BR0033-2026,Crack,Superstructure,Moderate,Longitudinal/transverse cracking in girder or slab,1.0,point,115908.0,False
DEF-BR0033-3,BR0033,INSP-BR0033-2026,Pier crack,Substructure,Minor,Vertical/inclined cracking at pier or cap beam,42.0,m,133133.0,False
DEF-BR0033-4,BR0033,INSP-BR0033-2026,Pier crack,Substructure,Minor,Vertical/inclined cracking at pier or cap beam,16.4,m,150207.0,False
DEF-BR0033-5,BR0033,INSP-BR0033-2026,Water leakage / efflorescence,Superstructure,Severe,Seepage marks and efflorescence,14.5,m,194271.0,True
DEF-BR0034-1,BR0034,INSP-BR0034-2026,Deck pavement rutting,Deck system,Minor,"Pavement rutting, pothole, delamination",14.9,m2,114288.0,False
DEF-BR0034-2,BR0034,INSP-BR0034-2026,Crack,Superstructure,Moderate,Longitudinal/transverse cracking in girder or slab,47.4,location,396479.0,False
DEF-BR0034-3,BR0034,INSP-BR0034-2026,Pier crack,Substructure,Moderate,Vertical/inclined cracking at pier or cap beam,5.2,point,322260.0,False
DEF-BR0035-1,BR0035,INSP-BR0035-2026,Abutment settlement,Substructure,Minor,Approach settlement or differential movement,13.7,m2,180166.0,False
DEF-BR0036-1,BR0036,INSP-BR0036-2025,Water leakage / efflorescence,Superstructure,Minor,Seepage marks and efflorescence,13.8,m,58570.0,False
DEF-BR0036-2,BR0036,INSP-BR0036-2025,Water leakage / efflorescence,Superstructure,Moderate,Seepage marks and efflorescence,37.0,m,317996.0,False
DEF-BR0036-3,BR0036,INSP-BR0036-2025,Scour / erosion,Foundation,Minor,Riverbed scour or slope erosion,44.4,m,24059.0,False
DEF-BR0036-4,BR0036,INSP-BR0036-2025,Spalling,Superstructure,Minor,Concrete cover spalling / exposed aggregate,31.7,m2,86275.0,False
DEF-BR0036-5,BR0036,INSP-BR0036-2025,Deck pavement rutting,Deck system,Minor,"Pavement rutting, pothole, delamination",58.7,m2,131921.0,False
DEF-BR0037-1,BR0037,INSP-BR0037-2025,Scour / erosion,Foundation,Severe,Riverbed scour or slope erosion,29.5,m,533911.0,True
DEF-BR0037-2,BR0037,INSP-BR0037-2025,Abutment settlement,Substructure,Moderate,Approach settlement or differential movement,2.6,m,173517.0,False
DEF-BR0037-3,BR0037,INSP-BR0037-2025,Scour / erosion,Foundation,Moderate,Riverbed scour or slope erosion,28.4,point,16994.0,False
DEF-BR0038-1,BR0038,INSP-BR0038-2026,Spalling,Superstructure,Minor,Concrete cover spalling / exposed aggregate,3.7,m,132017.0,False
DEF-BR0038-2,BR0038,INSP-BR0038-2026,Expansion joint damage,Deck system,Minor,"Broken seal, leakage or joint blockage",13.6,m2,194150.0,False
DEF-BR0038-3,BR0038,INSP-BR0038-2026,Drainage blockage,Deck system,Minor,"Blocked scupper, water ponding",46.7,m,169982.0,False
DEF-BR0039-1,BR0039,INSP-BR0039-2026,Expansion joint damage,Deck system,Minor,"Broken seal, leakage or joint blockage",6.5,point,135302.0,False
DEF-BR0039-2,BR0039,INSP-BR0039-2026,Crack,Superstructure,Minor,Longitudinal/transverse cracking in girder or slab,38.5,m,127356.0,False
DEF-BR0039-3,BR0039,INSP-BR0039-2026,Spalling,Superstructure,Moderate,Concrete cover spalling / exposed aggregate,35.6,m2,217666.0,False
DEF-BR0039-4,BR0039,INSP-BR0039-2026,Drainage blockage,Deck system,Minor,"Blocked scupper, water ponding",45.5,point,16901.0,False
DEF-BR0040-1,BR0040,INSP-BR0040-2026,Abutment settlement,Substructure,Moderate,Approach settlement or differential movement,36.2,point,224992.0,False
DEF-BR0041-1,BR0041,INSP-BR0041-2026,Bearing damage,Bearing,Moderate,"Aging rubber bearing, displacement or shear deformation",24.1,m2,299503.0,False
DEF-BR0041-2,BR0041,INSP-BR0041-2026,Scour / erosion,Foundation,Moderate,Riverbed scour or slope erosion,27.6,m2,314891.0,False
DEF-BR0041-3,BR0041,INSP-BR0041-2026,Water leakage / efflorescence,Superstructure,Moderate,Seepage marks and efflorescence,20.6,location,20283.0,False
DEF-BR0041-4,BR0041,INSP-BR0041-2026,Deck pavement rutting,Deck system,Moderate,"Pavement rutting, pothole, delamination",47.6,m,313316.0,False
DEF-BR0042-1,BR0042,INSP-BR0042-2025,Bearing damage,Bearing,Minor,"Aging rubber bearing, displacement or shear deformation",58.5,point,49248.0,False
DEF-BR0042-2,BR0042,INSP-BR0042-2025,Drainage blockage,Deck system,Severe,"Blocked scupper, water ponding",42.7,m2,611272.0,True
DEF-BR0043-1,BR0043,INSP-BR0043-2026,Crack,Superstructure,Critical,Longitudinal/transverse cracking in girder or slab,19.5,location,1401124.0,True
DEF-BR0043-2,BR0043,INSP-BR0043-2026,Crack,Superstructure,Minor,Longitudinal/transverse cracking in girder or slab,7.5,location,9825.0,False
DEF-BR0044-1,BR0044,INSP-BR0044-2026,Expansion joint damage,Deck system,Moderate,"Broken seal, leakage or joint blockage",13.5,point,196183.0,False
DEF-BR0044-2,BR0044,INSP-BR0044-2026,Water leakage / efflorescence,Superstructure,Moderate,Seepage marks and efflorescence,19.1,point,75829.0,False
DEF-BR0045-1,BR0045,INSP-BR0045-2026,Crack,Superstructure,Moderate,Longitudinal/transverse cracking in girder or slab,16.7,point,279995.0,False
DEF-BR0046-1,BR0046,INSP-BR0046-2026,Crack,Superstructure,Minor,Longitudinal/transverse cracking in girder or slab,24.4,point,84478.0,False
DEF-BR0047-1,BR0047,INSP-BR0047-2026,Scour / erosion,Foundation,Minor,Riverbed scour or slope erosion,54.6,point,49306.0,False
DEF-BR0048-1,BR0048,INSP-BR0048-2026,Expansion joint damage,Deck system,Minor,"Broken seal, leakage or joint blockage",32.1,point,50254.0,False
DEF-BR0048-2,BR0048,INSP-BR0048-2026,Abutment settlement,Substructure,Minor,Approach settlement or differential movement,55.2,point,103935.0,False
DEF-BR0048-3,BR0048,INSP-BR0048-2026,Water leakage / efflorescence,Superstructure,Minor,Seepage marks and efflorescence,31.3,m2,139268.0,False
DEF-BR0048-4,BR0048,INSP-BR0048-2026,Drainage blockage,Deck system,Moderate,"Blocked scupper, water ponding",35.3,location,83360.0,False
DEF-BR0049-1,BR0049,INSP-BR0049-2026,Expansion joint damage,Deck system,Moderate,"Broken seal, leakage or joint blockage",11.1,location,200550.0,False
DEF-BR0049-2,BR0049,INSP-BR0049-2026,Water leakage / efflorescence,Superstructure,Moderate,Seepage marks and efflorescence,57.1,point,78865.0,False
DEF-BR0049-3,BR0049,INSP-BR0049-2026,Water leakage / efflorescence,Superstructure,Minor,Seepage marks and efflorescence,11.4,m,67168.0,False
DEF-BR0050-1,BR0050,INSP-BR0050-2026,Water leakage / efflorescence,Superstructure,Minor,Seepage marks and efflorescence,49.9,m2,198319.0,False
DEF-BR0050-2,BR0050,INSP-BR0050-2026,Expansion joint damage,Deck system,Moderate,"Broken seal, leakage or joint blockage",47.8,location,256891.0,False
DEF-BR0050-3,BR0050,INSP-BR0050-2026,Scour / erosion,Foundation,Minor,Riverbed scour or slope erosion,15.4,location,96674.0,False
DEF-BR0050-4,BR0050,INSP-BR0050-2026,Water leakage / efflorescence,Superstructure,Minor,Seepage marks and efflorescence,57.1,location,62462.0,False
DEF-BR0050-5,BR0050,INSP-BR0050-2026,Bearing damage,Bearing,Minor,"Aging rubber bearing, displacement or shear deformation",36.3,m,174086.0,False
DEF-BR0051-1,BR0051,INSP-BR0051-2024,Bearing damage,Bearing,Minor,"Aging rubber bearing, displacement or shear deformation",32.5,m,196089.0,False
DEF-BR0051-2,BR0051,INSP-BR0051-2024,Crack,Superstructure,Minor,Longitudinal/transverse cracking in girder or slab,30.0,location,94807.0,False
DEF-BR0052-1,BR0052,INSP-BR0052-2026,Abutment settlement,Substructure,Severe,Approach settlement or differential movement,34.6,point,69721.0,True
DEF-BR0053-1,BR0053,INSP-BR0053-2026,Crack,Superstructure,Critical,Longitudinal/transverse cracking in girder or slab,58.3,m2,58423.0,True
DEF-BR0053-2,BR0053,INSP-BR0053-2026,Drainage blockage,Deck system,Minor,"Blocked scupper, water ponding",7.3,location,80658.0,False
DEF-BR0053-3,BR0053,INSP-BR0053-2026,Deck pavement rutting,Deck system,Minor,"Pavement rutting, pothole, delamination",10.9,m2,128433.0,False
DEF-BR0053-4,BR0053,INSP-BR0053-2026,Drainage blockage,Deck system,Moderate,"Blocked scupper, water ponding",1.5,location,396900.0,False
DEF-BR0054-1,BR0054,INSP-BR0054-2024,Crack,Superstructure,Minor,Longitudinal/transverse cracking in girder or slab,43.1,m,114280.0,False
DEF-BR0054-2,BR0054,INSP-BR0054-2024,Water leakage / efflorescence,Superstructure,Moderate,Seepage marks and efflorescence,54.7,location,340053.0,False
DEF-BR0054-3,BR0054,INSP-BR0054-2024,Water leakage / efflorescence,Superstructure,Moderate,Seepage marks and efflorescence,11.4,point,106159.0,False
DEF-BR0055-1,BR0055,INSP-BR0055-2025,Rebar corrosion,Superstructure,Moderate,Exposed or corroded reinforcement,14.7,point,372486.0,False
DEF-BR0055-2,BR0055,INSP-BR0055-2025,Expansion joint damage,Deck system,Moderate,"Broken seal, leakage or joint blockage",36.7,m2,214567.0,False
DEF-BR0055-3,BR0055,INSP-BR0055-2025,Railing damage,Ancillary,Minor,Damaged barrier or guardrail,54.8,m,56219.0,False
DEF-BR0056-1,BR0056,INSP-BR0056-2026,Expansion joint damage,Deck system,Minor,"Broken seal, leakage or joint blockage",55.4,m,100321.0,False
DEF-BR0056-2,BR0056,INSP-BR0056-2026,Scour / erosion,Foundation,Minor,Riverbed scour or slope erosion,52.6,m2,194381.0,False
DEF-BR0057-1,BR0057,INSP-BR0057-2026,Drainage blockage,Deck system,Minor,"Blocked scupper, water ponding",20.2,m,151832.0,False
DEF-BR0057-2,BR0057,INSP-BR0057-2026,Abutment settlement,Substructure,Severe,Approach settlement or differential movement,4.0,location,20477.0,True
DEF-BR0057-3,BR0057,INSP-BR0057-2026,Scour / erosion,Foundation,Moderate,Riverbed scour or slope erosion,4.8,point,117149.0,False
DEF-BR0059-1,BR0059,INSP-BR0059-2025,Expansion joint damage,Deck system,Minor,"Broken seal, leakage or joint blockage",34.6,location,167078.0,False
DEF-BR0059-2,BR0059,INSP-BR0059-2025,Abutment settlement,Substructure,Minor,Approach settlement or differential movement,42.3,m2,89017.0,False
DEF-BR0060-1,BR0060,INSP-BR0060-2026,Crack,Superstructure,Critical,Longitudinal/transverse cracking in girder or slab,58.0,point,282409.0,True
DEF-BR0060-2,BR0060,INSP-BR0060-2026,Scour / erosion,Foundation,Minor,Riverbed scour or slope erosion,28.9,m,68446.0,False
DEF-BR0060-3,BR0060,INSP-BR0060-2026,Pier crack,Substructure,Moderate,Vertical/inclined cracking at pier or cap beam,53.5,location,313359.0,False
DEF-BR0060-4,BR0060,INSP-BR0060-2026,Spalling,Superstructure,Minor,Concrete cover spalling / exposed aggregate,26.6,point,73454.0,False
DEF-BR0061-1,BR0061,INSP-BR0061-2025,Pier crack,Substructure,Critical,Vertical/inclined cracking at pier or cap beam,46.0,location,1378850.0,True
DEF-BR0061-2,BR0061,INSP-BR0061-2025,Drainage blockage,Deck system,Moderate,"Blocked scupper, water ponding",39.7,point,172430.0,False
DEF-BR0062-1,BR0062,INSP-BR0062-2026,Spalling,Superstructure,Minor,Concrete cover spalling / exposed aggregate,33.7,m2,67809.0,False
DEF-BR0063-1,BR0063,INSP-BR0063-2024,Rebar corrosion,Superstructure,Severe,Exposed or corroded reinforcement,32.4,m,629117.0,True
DEF-BR0063-2,BR0063,INSP-BR0063-2024,Deck pavement rutting,Deck system,Moderate,"Pavement rutting, pothole, delamination",6.1,m2,221265.0,False
DEF-BR0064-1,BR0064,INSP-BR0064-2026,Railing damage,Ancillary,Minor,Damaged barrier or guardrail,17.2,m,145078.0,False
DEF-BR0064-2,BR0064,INSP-BR0064-2026,Scour / erosion,Foundation,Severe,Riverbed scour or slope erosion,52.8,m2,325139.0,True
DEF-BR0064-3,BR0064,INSP-BR0064-2026,Pier crack,Substructure,Minor,Vertical/inclined cracking at pier or cap beam,59.6,m2,55129.0,False
DEF-BR0065-1,BR0065,INSP-BR0065-2023,Rebar corrosion,Superstructure,Critical,Exposed or corroded reinforcement,1.4,m,1512688.0,True
DEF-BR0065-2,BR0065,INSP-BR0065-2023,Scour / erosion,Foundation,Minor,Riverbed scour or slope erosion,48.4,m,169889.0,False
DEF-BR0065-3,BR0065,INSP-BR0065-2023,Spalling,Superstructure,Minor,Concrete cover spalling / exposed aggregate,25.2,point,169195.0,False
DEF-BR0066-1,BR0066,INSP-BR0066-2025,Railing damage,Ancillary,Severe,Damaged barrier or guardrail,16.8,point,667306.0,True
DEF-BR0066-2,BR0066,INSP-BR0066-2025,Spalling,Superstructure,Moderate,Concrete cover spalling / exposed aggregate,1.9,m2,139897.0,False
DEF-BR0066-3,BR0066,INSP-BR0066-2025,Abutment settlement,Substructure,Moderate,Approach settlement or differential movement,20.7,location,265309.0,False
DEF-BR0066-4,BR0066,INSP-BR0066-2025,Expansion joint damage,Deck system,Severe,"Broken seal, leakage or joint blockage",30.8,point,341206.0,True
DEF-BR0066-5,BR0066,INSP-BR0066-2025,Water leakage / efflorescence,Superstructure,Severe,Seepage marks and efflorescence,53.5,m2,708200.0,True
DEF-BR0067-1,BR0067,INSP-BR0067-2024,Expansion joint damage,Deck system,Minor,"Broken seal, leakage or joint blockage",12.7,point,49421.0,False
DEF-BR0067-2,BR0067,INSP-BR0067-2024,Spalling,Superstructure,Moderate,Concrete cover spalling / exposed aggregate,53.7,point,288132.0,False
DEF-BR0067-3,BR0067,INSP-BR0067-2024,Abutment settlement,Substructure,Moderate,Approach settlement or differential movement,49.8,point,348726.0,False
DEF-BR0068-1,BR0068,INSP-BR0068-2026,Abutment settlement,Substructure,Moderate,Approach settlement or differential movement,10.1,m,129990.0,False
DEF-BR0069-1,BR0069,INSP-BR0069-2026,Deck pavement rutting,Deck system,Minor,"Pavement rutting, pothole, delamination",32.2,location,106533.0,False
DEF-BR0069-2,BR0069,INSP-BR0069-2026,Abutment settlement,Substructure,Severe,Approach settlement or differential movement,16.1,m2,252057.0,True
DEF-BR0069-3,BR0069,INSP-BR0069-2026,Deck pavement rutting,Deck system,Minor,"Pavement rutting, pothole, delamination",4.2,m2,127610.0,False
DEF-BR0071-1,BR0071,INSP-BR0071-2025,Bearing damage,Bearing,Minor,"Aging rubber bearing, displacement or shear deformation",50.2,point,86982.0,False
DEF-BR0071-2,BR0071,INSP-BR0071-2025,Deck pavement rutting,Deck system,Severe,"Pavement rutting, pothole, delamination",35.6,m2,603214.0,True
DEF-BR0072-1,BR0072,INSP-BR0072-2026,Bearing damage,Bearing,Minor,"Aging rubber bearing, displacement or shear deformation",55.8,point,90029.0,False
DEF-BR0072-2,BR0072,INSP-BR0072-2026,Bearing damage,Bearing,Minor,"Aging rubber bearing, displacement or shear deformation",51.3,m,68546.0,False
DEF-BR0073-1,BR0073,INSP-BR0073-2026,Expansion joint damage,Deck system,Moderate,"Broken seal, leakage or joint blockage",51.2,m2,139985.0,False
